ZoneName,adminPrice,amenitiesCommonZones,amenitiesExteriors,amenitiesInteriors,ammenitiesSector,areaBuilt,bathrooms,builtTime,businessType,cityID,cityName,comment,commonNeighborhood,companyId,companyName,floor,garages,latitude,longitude,neighborhood,numPictures,propAddress,propID,propType,propertyState,rentPrice,rentTotalPrice,rooms,salePrice,sectorName,stratum,zoneID
Suroriente,730000,"salon comunal, zona para ninos, zonas verdes","conjunto cerrado, terraza/balcon terraza, vigilancia 24hrs","citofonos, cuarto de servicio, parqueadero cubierto, jacuzzi, zona de lavanderia, instalacion de gas natural, tipo de casa tradicional, tipo de comedor comedor independiente, tipo acabado de piso otro, tipo de piso en alcobas otro, vista interior","cerca centros comerciales, cerca colegios / universidades, cerca supermercados, cerca transporte publico",319,4,Entre 10 y 20 años,venta,3,Medellin,Casa en venta ubicada en El Poblado sector La Visitacion,Altos Del Poblado,3106,SANTA MARIA Y ASOCIADOS,,2,6.1993,-75.5643,URBANIZACION LINARES,,,2364-9897,Casa,Usado,,0,4,1250000000,Suroriente,6,38
Suroriente,930000,"gimnasio, salon comunal, zona para ninos, zonas verdes","area lote 1050 m2, circuito cerrado de tv, vista panoramica, conjunto cerrado, terraza/balcon balcon, vigilancia 24hrs","alarma, citofonos, cuarto de servicio, estudio o biblioteca, parqueadero cubierto, hall de alcobas, puerta seguridad, instalacion de gas natural, calentador gas, tipo de casa tradicional, tipo de comedor comedor independiente, tipo de parqueadero independiente, tipo acabado de piso marmol, tipo de piso en alcobas marmol, tipo de piso en estudio marmol, vista exterior","cerca centros comerciales, cerca colegios / universidades, cerca parques, cerca supermercados, cerca transporte publico, sobre via secundaria",1050,5,Entre 10 y 20 años,venta,3,Medellin,"Queremos presentarte esta gran casa de 1050 m2 construidos en un hermoso lote de 1561 m2 que cuenta con zona de juegos privada, quebrada cristalina y una espectacular terraza para disfrutar con tus seres más cercanos. Esta ubicada en un sector bastante tranquilo, alejada del ruido y del stress que genera la ciudad, sin embargo tendrás a tu disposición vías que te permitirán llegar en pocos minutos al C.C el Tesoro o al centro de El Poblado. Cod. 1161",Los Balsos,2478,PADS,,4,6.178807,-75.55718,SAN LUCAS,,,847-1161,Casa,Usado,0,0,4,3200000000,Suroriente,6,38
Suroriente,2448000,"gimnasio, zona de bbq, zona para ninos, zonas verdes","area lote 1200 m2, circuito cerrado de tv, piscina, terraza/balcon balcon, vigilancia 24hrs","citofonos, comedor auxiliar, tipo de cortinas, cuarto de servicio, estudio o biblioteca, parqueadero cubierto, hall de alcobas, puerta seguridad, zona de lavanderia, instalacion de gas natural, tipo de casa tradicional, tipo de comedor comedor independiente, tipo de parqueadero independiente, tipo acabado de piso marmol, tipo de piso en alcobas marmol, tipo de piso en estudio marmol, vista exterior","cerca centros comerciales, cerca colegios / universidades, cerca parques, cerca supermercados",1200,5,Entre 10 y 20 años,venta,3,Medellin,"Presentamos esta espaciosa casa de un nivel con excelente iluminación natural perfecta para familias. Ubicada en el corazón de El Poblado por la loma de Los Balsos, estarás cerca de restaurantes, centros comerciales y supermercados. Tendrás también muy buenas vías de acceso por la Transversal Superior, la Loma del Tesoro y la Loma de los Balsos. Para mayor información visita nuestra pagina web con el código   1763",LA ESTRELLA,2478,PADS,,3,6.183093,-75.55636,SAN LUCAS,,,847-1763,Casa,Usado,0,0,4,6500000000,Suroriente,6,38
Nororiente,300000,"cancha(s) de futbol, zona de bbq","area lote 1460 m2, terraza/balcon ninguno, vigilancia 24hrs","chimenea, citofonos, comedor auxiliar, cuarto de servicio, hall de alcobas, zona de lavanderia, instalacion de gas natural, calentador gas, tipo de casa tradicional, tipo de comedor comedor independiente, tipo de parqueadero servidumbre, tipo acabado de piso madera, tipo de piso en alcobas madera, tipo de piso en estudio madera, vista exterior","cerca centros comerciales, cerca parques, cerca supermercados, cerca transporte publico, sobre via secundaria",1460,4,Entre 0 y 5 años,venta,3,Medellin,"Tenemos el gusto de presentar esta hermosa casa para la venta, perfecta para las familias que quieren una vida campestre, rodeada de naturaleza y respirando aire puro. Ubicada en el Alto de las Palmas, en una urbanización cerrada. estarás a pocos minutos de la ciudad y estarás en la vía al aeropuerto internacional JMC. Para mayor información visita nuestra pagina web www.pads.com.co con el código   1804",ALTO LAS PALMAS,2478,PADS,,4,6.217058,-75.55856,ASOMADERA NO. 2,,,847-1804,Casa,Usado,0,0,3,1600000000,Nororiente,4,36
Suroriente,1510000,"cancha(s) de basket, cancha(s) de futbol, salon comunal, sendero peatonal, zona para ninos, zonas verdes","area lote 1007 m2, area terraza/balcon 30.00 m2, acceso para discapacitados, circuito cerrado de tv, jardin, vista panoramica, conjunto cerrado, esquinero, numero de ascensores 0, terraza/balcon terraza, vigilancia 24hrs","apto para ninos, citofonos, comedor auxiliar, tipo de cortinas ninguna, cuarto de servicio, estudio o biblioteca, parqueadero cubierto, hall de alcobas, puerta seguridad, zona de lavanderia, instalacion de gas natural, closets 4, numero de lineas telefonicas 1, se permite fumar, calentador gas, tipo de casa condominio, tipo de cocina isla, tipo de comedor comedor independiente, deposito 2, tipo de estufa electrica, tipo de parqueadero propio, tipo acabado de piso marmol, tipo de piso en alcobas marmol, tipo de piso en comedor marmol, tipo de piso en estudio marmol, tipo de piso en sala marmol, vista exterior","cerca centros comerciales, cerca colegios / universidades, cerca parques, cerca supermercados, cerca transporte publico, sobre via secundaria",398,5,Entre 10 y 20 años,venta,3,Medellin,"Venta de casa en El Poblado, sector Cola del Zorro , área 398 m2 de 4 habitaciones todas con baño mas habitación de servicio , 2 salas , biblioteca, comedor , cocina integral en isla , balcón grande , despensa, terraza ,zona verde privada , 5 parqueaderos y cuarto útil.
Casa de 2 pisos en perfecto estado en exclusiva unidad cerrada con 2 porterías con acceso por las Palmas y la cola del zorro , con portería 24 horas, cancha polideportiva y juegos infantiles.
Casa independiente sin vecinos a los lados y atras.",EL POBLADO LAS LOMAS,3809,Jorge  Gomez Propiedad Raiz,,4,6.2103415,-75.56316,LAS LOMAS No.1,,,5570-M2774588,Casa,Usado,0,0,4,2200000000,Suroriente,6,38
Suroriente,830000,"salon comunal, zona para ninos, zonas verdes","area lote 385 m2, area terraza/balcon 1 m2, circuito cerrado de tv, jardin, piscina, conjunto cerrado, terraza/balcon balcon, vigilancia 24hrs","citofonos, comedor auxiliar, estudio o biblioteca, parqueadero cubierto, zona de lavanderia, instalacion de gas natural, closets 2, numero de lineas telefonicas 0, tipo de casa condominio, tipo de comedor comedor independiente, tipo de estufa gas, tipo de parqueadero independiente, tipo acabado de piso marmol, tipo de piso en alcobas madera, vista exterior",,244,4,Entre 5 y 10 años,venta,3,Medellin,"Casa duplex en unidad cerrada sector la calera, Hall de acceso, piso en marmol y madera, 3 alcobas con baño en cada una, comedor auxiliar e independiente, dos estudios, biblioteca, cocina integral, patio con jardin interno, balcon y parqueaderos independientes. Unidad piscina, parque infantil, zonas verdes. vigilancia 24 horas, citofonia y circuito cerrado de tv. ",EL POBLADO,2669,PROINTEGRAL SA,,2,0,0,ALTOS DEL POBLADO,,,687-I1894377,Casa,Usado,0,0,3,1380000000,Suroriente,6,38
Suroriente,520000,"salon comunal, zona para ninos, zonas verdes","area lote 340 m2, area terraza/balcon 0 m2, piscina, conjunto cerrado, terraza/balcon balcon, vigilancia 24hrs","alarma, estudio o biblioteca, parqueadero cubierto, zona de lavanderia, instalacion de gas natural, closets 1, numero de lineas telefonicas 0, calentador gas, tipo de casa condominio, tipo de comedor comedor independiente, tipo de estufa gas, tipo de parqueadero independiente, tipo acabado de piso baldosa, tipo de piso en alcobas madera, vista exterior",,230,4,Entre 5 y 10 años,venta,3,Medellin,"Hermosa casa de dos niveles en unidad cerrada sector la calera. Piso en baldosa y madera, hall de acceso, sala  con chimenea, estudio, estar de tv, 3 alcobas con bao en cada una, cocina integral tipo americano, patio con jardin interno, balco y parqueaderos indeependientes. Piscina, parque infantil, zonas verdes, vigilancia 24 horas, citofonia y circuito cerrado de tv.  Unidad de casas independientes",EL POBLADO,2669,PROINTEGRAL SA,,2,6.205496,-75.55426,EL TESORO,,,687-I1894380,Casa,Usado,0,0,3,1000000000,Suroriente,6,38
Noroccidente,0,,,tipo de casa tradicional,,163,3,Entre 10 y 20 años,venta,3,Medellin,"Casa de 163 M² en venta tiene 5 alcobas, 3 baños, cocina integral, gas natural, calentador a gas, sala-comedor, estudio-biblioteca, 2 patios, terraza. 
Casa con buenos acabados sector tranquilo y seguro.
Favor comunicarse al 310 – 473 – 11 - 45

",LOMA DE LOS BERNAL,2956,RASKCIELOS INMOBILIARIA Y CONSTRUCTORA,,0,6.240535,-75.57956,LOMA DE LOS BERNAL,,,2511-M1987707,Casa,Usado,0,0,5,510000000,Noroccidente,4,35
Suroriente,488000,"salon comunal, zona para ninos, zonas verdes","piscina, conjunto cerrado, vigilancia 24hrs","citofonos, estudio o biblioteca, parqueadero cubierto, zona de lavanderia, instalacion de gas natural, tipo de casa tradicional, tipo de comedor comedor independiente, tipo acabado de piso laminado, tipo de piso en alcobas laminado",,441,5,Entre 10 y 20 años,venta,3,Medellin,"Casa en venta ubicada en El Poblado sector Loma Los Gonzalez. La propiedad se encuentra en excelente estado en unidad cerrada. Cuenta con parqueadero privado para guardar los vehículos de forma segura y cómoda. El cuarto útil permite almacenar elementos por fuera de la casa para mantener el orden sin tener que prescindir de estos elementos. La piscina es la favorita de los niños, es un espacio para la diversión y el deporte. Con portería vigilada.",Loma De Los Gonzalez,3106,SANTA MARIA Y ASOCIADOS,,2,6.19092,-75.55931,LOS BALSOS NO. 1,,,2364-4232,Casa,Usado,0,0,5,1000000000,Suroriente,6,38
Suroccidente,,,terraza/balcon balcon,"cuarto de servicio, zona de lavanderia, tipo de casa tradicional, tipo de comedor comedor independiente, tipo acabado de piso baldosa, tipo de piso en alcobas baldosa",,250,5,Entre 10 y 20 años,venta,3,Medellin,"dos sala, comedor, estar, cuatro alcobas, cuatro closet, cinco baños, cocina abierta integral mixta, zona de ropas, estar de alcobas, balcón, dos niveles, uno patio, cuarto útil, parqueadero sencillo, malacate, piso en baldosa",Laureles,3106,SANTA MARIA Y ASOCIADOS,,1,6.2377176,-75.59761,EL NOGAL- LOS ALMENDROS,,,2364-8879,Casa,Usado,,0,4,750000000,Suroccidente,5,37
Suroriente,,,"cerca centros comerciales, cerca colegios / universidades, cerca supermercados, cerca transporte publico, sobre via secundaria","parqueadero cubierto, zona de lavanderia, instalacion de gas natural, tipo de casa tradicional, tipo de comedor sala comedor, tipo acabado de piso porcelanato, tipo de piso en alcobas porcelanato, vista exterior",,580,0,Entre 10 y 20 años,venta,3,Medellin,Casa comercial en venta ubicada en El Poblado sector Alejandria,Alejandria,3106,SANTA MARIA Y ASOCIADOS,,2,6.1991234,-75.566246,ALEJANDRIA,,,2364-7965,Casa,Usado,,0,1,3000000000,Suroriente,6,38
Suroriente,800000,"salon comunal, zonas verdes","conjunto cerrado, terraza/balcon terraza, vigilancia 24hrs","citofonos, cuarto de servicio, estudio o biblioteca, parqueadero cubierto, zona de lavanderia, instalacion de gas natural, tipo de casa tradicional, tipo de comedor comedor independiente, tipo acabado de piso marmol, tipo de piso en alcobas marmol, vista interior",,760,4,Entre 10 y 20 años,venta,3,Medellin,Casa en venta ubicada en El Poblado cerca al Parque Comercial El Tesoro,El Tesoro,3106,SANTA MARIA Y ASOCIADOS,,2,6.1921554,-75.557144,LOS NARANJOS,,,2364-4840,Casa,Usado,,0,4,2000000000,Suroriente,6,38
Suroriente,,zonas verdes,terraza/balcon terraza,"cuarto de servicio, estudio o biblioteca, zona de lavanderia, instalacion de gas natural, tipo de casa tradicional, tipo de comedor comedor independiente, tipo acabado de piso madera, tipo de piso en alcobas madera, vista exterior","cerca centros comerciales, cerca colegios / universidades, cerca supermercados, cerca transporte publico",653,3,Entre 10 y 20 años,venta,3,Medellin,Casa en venta ubicada en El Poblado sector Las Lomas,Las Lomas,3106,SANTA MARIA Y ASOCIADOS,,2,6.212622,-75.564064,LAS LOMAS No.1,,,2364-9667,Casa,Usado,,0,2,1900000000,Suroriente,6,38
Noroccidente,,,,"zona de lavanderia, tipo de casa tradicional, tipo acabado de piso ceramica, tipo de piso en alcobas ceramica",,228,4,Entre 10 y 20 años,venta,3,Medellin,"Local de dos niveles, con siete salones, ventanales, puerta vidriera, tres baños comunes, uno baño en oficina, persiana enrollable, pisos en cerámica, cocina semiintegral, parqueadero para visitantes",LAURELES,3106,SANTA MARIA Y ASOCIADOS,,1,6.240095,-75.590965,LAURELES,,,2364-8532,Casa,Usado,,0,3,1350000000,Noroccidente,7,35
Otros,0,,"area terraza/balcon 2 m2, terraza/balcon balcon","calefaccion, comedor auxiliar, estudio o biblioteca, zona de lavanderia, tipo de casa tradicional, tipo de comedor sala comedor, tipo acabado de piso otro, tipo de piso en alcobas otro",,177,3,Entre 5 y 10 años,venta,3,Medellin,"Venta de casa PH en Guayabal sector San Fernando cerca a la Fábrica de Licores de Antioquia, Mesasé, las Chimeneas Itagí. Barrios aledaños La Colina, Santa María de los Ángeles, San Pablo, Guayabal. Área 177,2m2 Piso 3 Niveles 2 Estado Remodelada hace 5 años. Iluminación Led, piso en porcelanato, baños cabinados y enchapados, cocina remodelada, cada alcoba con clóset muy amplio. Primer Nivel 3 Alcobas principal con baño Baño social Balcón Cocina integral muy amplia Salón comedor Comedor auxiliar Sala o estudio independiente Segundo Nivel Alcoba principal con baño y vestier Espacio para otro baño con las instalaciones Patio de ropas Sala o Estar de televisión Predial $213 mil.S1R1KL3NK2RT.",Itaguí,5319,GRUGES INMOBILIARIO,,0,6.196442,-75.58465,GUAYABAL,,,11318-3373003,Casa,Usado,0,0,4,398000000,Otros,4,102
Otros,0,,,"tipo de casa tradicional, tipo de comedor sala comedor, tipo acabado de piso otro, tipo de piso en alcobas otro",,105,2,Entre 10 y 20 años,venta,3,Medellin,"CASA UNIFAMILIAR EN SAN ANTONIO DE PADRO EN UNIDAD ABIERTA  Area 105m2  4 habitaciones  Cocina integral  Sala comedor  Baños 2    Patio de ropas  Balcon  Red de gas  Energía prepago  Parqueaderos comunes   ESTA CASA ESTA UBICADA EN UNIDAD ABIERTA CON ZONAS VERDES, CANCHA DE JUEGOS.  ES EXCELENTE SITIO MUY TRANQUILO PARA DISFRUTAR EN FAMILIA  Crees  que es la propiedad que andas buscando  Agenda una cita y con gusto te atendemos",Sur Occidente,5319,GRUGES INMOBILIARIO,,0,6.174842,-75.642136,SUR OCCIDENTE,,,11318-2550016,Casa,Usado,0,0,4,145000000,Otros,3,102
Otros,1600000,"sendero peatonal, zonas verdes","area lote 1972 m2, conjunto cerrado, terraza/balcon balcon, vigilancia 0","cuarto de servicio, parqueadero cubierto, instalacion de gas natural, calentador gas, tipo de casa tradicional, tipo de comedor comedor independiente, tipo acabado de piso marmol, tipo de piso en alcobas marmol, tipo de piso en estudio marmol, vista exterior","cerca colegios / universidades, sobre via secundaria",1972,5,Entre 10 y 20 años,venta,3,Medellin,"Mattis Inmobiliaria te invita a conocer casa de elegancia y categoría que posee un balcón con hermosa vista, una sala con el espacio ideal para tus reuniones familiares y una cocina integral con amplios espacio de almacenamiento que se integra perfectamente con el resto del inmueble. tres habitaciones de amplio espacio con su baño y vestier, un vestier que se puede adaptar a una cuarta habitación. Habitación de servicio con su baño, zona de ropas, y una zona verde de amplio espacio Se encuentra ubicado en unidad, en un sector sin congestiones cerca a la salida de la avenida las Palmas, alejado del ruido de la ciudad. Contactamos para brindarte toda la información que requieres sobre esta propiedad.   Mattis, Más que tu espacio",Los Balsos No.2,2969,INMOBILIARIA MATTIS,,2,6.1822543,-75.548645,LOS BALSOS NO.2,,,3267-12126,Casa,Usado,,0,4,2600000000,Otros,null,102
Noroccidente,,,"area lote 210 m2, terraza/balcon balcon, vigilancia 0","cuarto de servicio, tipo de casa tradicional, tipo acabado de piso otro, tipo de piso en alcobas otro, tipo de piso en estudio otro",,210,3,Entre 10 y 20 años,venta,3,Medellin,"Cod inmobiliaria  CA 937. Casa unifamiliar en Simón Bolivar   Almería, dos niveles, cuatro habitaciones más servicio  ppal con baño , tres baños más social, sala, comedor independiente, cocina muy grande y sencilla, balcón, un parqueadero, bar, patio trasero, como para remodelar o construir. Cerca a la Glorieta de Don Quijote",Simon Bolivar,3181,GUSTAVO MURILLO ANGEL,,1,6.243653,-75.60669,LA CASTELLANA,,,4534-2235,Casa,Usado,,0,4,780000000,Noroccidente,5,35
